2026-05-17 16:13:32 | INFO | server | Server logger initialized successfully.
2026-05-17 16:13:32 | INFO | server | Server starting
2026-05-17 16:14:49 | INFO | server | [Client-1] Connected from ('127.0.0.1', 49277)
2026-05-17 16:14:49 | INFO | server | [Client-1] RSA context ready
2026-05-17 16:14:49 | INFO | server | [Client-1] Public key received
2026-05-17 16:14:49 | INFO | server | [Client-1] AES key generated
2026-05-17 16:14:49 | INFO | server | [Client-1] AES key sent
2026-05-17 16:14:59 | INFO | server | [Client-1] Message decrypted
2026-05-17 16:16:18 | INFO | server | [Client-1] Message decrypted
2026-05-17 16:16:21 | INFO | server | [Client-1] Message decrypted
2026-05-17 16:16:30 | INFO | server | [Client-1] Message decrypted
